Status ( Active / Inactive / Inactive - Maintenance / Inactive - Inactive - Inactive - Inactive - Inactive - Inactive - Inactive - Inactive - Grounded ), Vehicle Name, License Plate, License Plate Expiration, State, VIN, Gas Card ( Last 6 ), Mileage, Parking Space, Start Date,End date, Ownership ( Lease / Own / Rent ), Vehicle Type,Description, Make, Model, Year, Company ( Alamo / Avis / Budget / Dollar / Element / Enterprise / Fluid Truck / Hertz / Lease Plan / Merchants Fleet / National / Thrifty / Zeeba ), Rent Agreement Number
Active,Van 23,82092H2,01/30/2027,TN,3C6MRVJG7ME571859,,,,11/21/2021,,Own,Standard Parcel XL,,Ram,ProMaster,2021,Element,
Inactive - Grounded,Van 09,79378H2,08/30/2026,TN,3C6MRVJG9ME563245,,,,09/20/2021,,Own,Standard Parcel XL,,Ram,ProMaster,2021,Element,
Inactive - Grounded,Van 10,78793H2,08/30/2026,TN,3C6MRVJG2ME563233,,,,09/20/2021,,Own,Standard Parcel XL,,Ram,ProMaster,2021,Element,
Inactive - Grounded,Van 05,78797H2,08/30/2026,TN,3C6MRVJG5ME563193,,,,09/20/2021,,Own,Standard Parcel XL,,Ram,ProMaster,2021,Element,
Active,Van 14,78776H2,08/30/2026,TN,1FTBR3X88MKA54393,,,,10/13/2021,,Own,Standard Parcel XL,,Ford,Transit,2021,Element,
Active,Step Van 25,PLB5704,09/29/2026,OH,1FC3E4K61KDC51953,,,,07/06/2023,,Own,"10,000lbs Van",,Ford,E-Series,2019,Element,
Active,Enterprise 8,1CP1388,,TN,3C6LRVVG0SE519296,,,,06/30/2026,,Rent,Standard Parcel,,Ram,ProMaster,2025,Element,
Active,ENTERPRISE 3,7X3M99,,TN,3C6LRVCG4SE511432,,,,06/19/2026,,Rent,Standard Parcel Large,,Ram,ProMaster,2025,Enterprise,
Active,Enterprise 2,7CP5444,,TN,3C6LRVDG5TE174480,,,,06/30/2026,,Rent,Standard Parcel XL,,Ram,ProMaster,2026,Enterprise,
Active,Van 21,88941CP,12/30/2026,TN,3C6MRVJG3ME571339,,,,11/21/2021,,Own,Standard Parcel XL,,Ram,ProMaster,2021,Element,
Active,Van 20,CP92290,08/30/2026,TN,3C6MRVJG8ME563169,,,,10/26/2021,,Own,Standard Parcel XL,,Ram,ProMaster,2021,Element,
Active,Enterprise 9,8CP7260,,TN,1FTBR1X85TKA66603,,,,06/30/2026,,Rent,Standard Parcel XL,,Ford,Transit,2026,Element,
Active,Enterprise 11,7CP5480,,TN,3C6LRVDG0TE174483,,,,04/16/2026,,Rent,Standard Parcel XL,,Ram,ProMaster,2026,Enterprise,
Active,Van 06,78791H2,08/30/2026,TN,3C6MRVJG7ME563230,,,,09/20/2021,,Own,Standard Parcel XL,,Ram,ProMaster,2021,Element,
Active,Enterprise 10,4CP8273,,TN,1FTBR1C85SKB09809,,,,04/10/2026,,Rent,Standard Parcel Large,,Ford,Transit,2025,Enterprise,
Active,ENTERPRISE 14,8CP7207,,TN,3C6LRVDG4TE180397,,,,05/19/2026,,Rent,Standard Parcel XL,,Ram,ProMaster,2026,Enterprise,
